epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,31734.9,0.6301,0.41096,1.04218,0.885,0.73455,0.8165,0.43528,1.57948,0.91661,1.64945,0.003664,0.003664,0.003664
98,32048.8,0.62007,0.40451,1.03522,0.87917,0.73954,0.81827,0.4361,1.57872,0.91478,1.64869,0.003598,0.003598,0.003598
99,32359.8,0.61938,0.39836,1.03516,0.88229,0.739,0.81775,0.4359,1.57758,0.91325,1.64706,0.003532,0.003532,0.003532
100,32671.2,0.61899,0.40106,1.03424,0.88563,0.74076,0.81996,0.4362,1.57609,0.91101,1.64503,0.003466,0.003466,0.003466
101,32982.2,0.61451,0.39924,1.03291,0.87893,0.74121,0.81884,0.43676,1.57513,0.90909,1.64375,0.0034,0.0034,0.0034
102,33294.5,0.61294,0.39707,1.03147,0.8772,0.74155,0.82105,0.43733,1.57454,0.9073,1.64259,0.003334,0.003334,0.003334
103,33604.1,0.6084,0.39428,1.02711,0.88098,0.74178,0.82215,0.43791,1.57343,0.90603,1.64093,0.003268,0.003268,0.003268
104,33915.6,0.60704,0.39476,1.02823,0.87814,0.74286,0.82236,0.43858,1.57251,0.9046,1.63919,0.003202,0.003202,0.003202
105,34219.3,0.60368,0.39437,1.0265,0.87796,0.74457,0.82405,0.4397,1.57165,0.90216,1.63776,0.003136,0.003136,0.003136
106,34518.4,0.60393,0.39155,1.02618,0.87645,0.74653,0.82559,0.44058,1.57079,0.90053,1.63643,0.00307,0.00307,0.00307
107,34814.4,0.59671,0.38618,1.02458,0.87461,0.74736,0.82596,0.4418,1.56948,0.89951,1.63503,0.003004,0.003004,0.003004
108,35120.1,0.59504,0.38559,1.02173,0.87251,0.7482,0.82556,0.44231,1.5683,0.89828,1.63349,0.002938,0.002938,0.002938
109,35427.7,0.59115,0.38292,1.0197,0.87379,0.7498,0.82802,0.4431,1.56778,0.89736,1.63234,0.002872,0.002872,0.002872
110,35728.7,0.5915,0.38284,1.02099,0.87338,0.75149,0.82766,0.44286,1.56717,0.89638,1.63145,0.002806,0.002806,0.002806
