epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,31180.5,0.49641,0.31194,0.98154,0.88901,0.79749,0.8666,0.47315,1.51611,0.77363,1.62696,0.002674,0.002674,0.002674
113,31463.6,0.49571,0.31285,0.9801,0.88828,0.80064,0.86811,0.47376,1.5151,0.77203,1.62458,0.002608,0.002608,0.002608
114,31749.2,0.49666,0.31431,0.98091,0.88844,0.80001,0.86915,0.47423,1.51488,0.7705,1.62275,0.002542,0.002542,0.002542
115,32043.4,0.4911,0.3077,0.97727,0.88812,0.80014,0.86974,0.47439,1.5145,0.76926,1.62066,0.002476,0.002476,0.002476
116,32332.4,0.48728,0.30607,0.97431,0.88701,0.79772,0.86865,0.47463,1.51401,0.76796,1.61864,0.00241,0.00241,0.00241
117,32620.8,0.48253,0.30484,0.97334,0.88707,0.80105,0.86849,0.47553,1.51314,0.76648,1.61639,0.002344,0.002344,0.002344
118,32907.2,0.47832,0.30335,0.97269,0.8875,0.80151,0.86924,0.47596,1.51281,0.76463,1.61454,0.002278,0.002278,0.002278
119,33195.5,0.48275,0.29848,0.97548,0.89144,0.80079,0.87027,0.47657,1.51217,0.76239,1.61256,0.002212,0.002212,0.002212
120,33484.6,0.47828,0.30093,0.97178,0.88918,0.80242,0.87082,0.4773,1.51154,0.76046,1.61039,0.002146,0.002146,0.002146
121,33772.9,0.47637,0.29906,0.97147,0.89105,0.80114,0.87083,0.47687,1.51059,0.75856,1.6079,0.00208,0.00208,0.00208
122,34066,0.4738,0.29739,0.96896,0.89344,0.80155,0.87182,0.47802,1.51064,0.75628,1.606,0.002014,0.002014,0.002014
123,34351.3,0.47048,0.29465,0.96533,0.89128,0.80126,0.87129,0.47843,1.51024,0.75473,1.6038,0.001948,0.001948,0.001948
124,34644.2,0.47009,0.29565,0.96753,0.89303,0.79998,0.8719,0.47874,1.51031,0.75322,1.60248,0.001882,0.001882,0.001882
125,34934.1,0.46763,0.29084,0.96672,0.89367,0.79983,0.87224,0.47911,1.51001,0.75177,1.60023,0.001816,0.001816,0.001816
126,35220.5,0.46249,0.29052,0.96595,0.89553,0.79944,0.8728,0.47963,1.5096,0.75062,1.59864,0.00175,0.00175,0.00175
127,35509.5,0.46141,0.28904,0.96599,0.90038,0.80067,0.87448,0.47987,1.50914,0.74901,1.59689,0.001684,0.001684,0.001684
128,35799.2,0.45668,0.28723,0.96356,0.90048,0.79943,0.87461,0.48126,1.50808,0.74697,1.59456,0.001618,0.001618,0.001618
129,36086.1,0.45649,0.28396,0.96315,0.90068,0.80009,0.87569,0.48172,1.50712,0.74495,1.59258,0.001552,0.001552,0.001552
130,36373.1,0.45184,0.28197,0.95979,0.89807,0.7993,0.87583,0.48212,1.50647,0.74311,1.59103,0.001486,0.001486,0.001486
131,36651.4,0.44796,0.28137,0.95638,0.90044,0.80006,0.8758,0.4824,1.50638,0.74146,1.58952,0.00142,0.00142,0.00142
132,36930,0.44673,0.27784,0.95557,0.90039,0.79948,0.87699,0.48381,1.50635,0.73996,1.58784,0.001354,0.001354,0.001354
133,37208.2,0.44331,0.27778,0.95407,0.9007,0.79835,0.87634,0.48349,1.50622,0.73808,1.58596,0.001288,0.001288,0.001288
134,37488.9,0.44221,0.27605,0.95739,0.90323,0.79896,0.87739,0.48371,1.50518,0.73687,1.5842,0.001222,0.001222,0.001222
135,37767.5,0.43923,0.27212,0.95448,0.90058,0.80031,0.87801,0.4846,1.50428,0.73561,1.58187,0.001156,0.001156,0.001156
136,38044.2,0.43943,0.27262,0.95303,0.90065,0.80096,0.87882,0.48507,1.50398,0.73451,1.58,0.00109,0.00109,0.00109
137,38323.7,0.43558,0.2714,0.9537,0.90385,0.79989,0.87895,0.48491,1.50323,0.73322,1.57839,0.001024,0.001024,0.001024
138,38600.4,0.43034,0.2671,0.95098,0.90528,0.80007,0.87969,0.48548,1.50376,0.73186,1.57764,0.000958,0.000958,0.000958
139,38881.7,0.43129,0.26982,0.951,0.90039,0.8032,0.88006,0.48611,1.50357,0.73063,1.57656,0.000892,0.000892,0.000892
140,39160.2,0.428,0.26299,0.94812,0.90432,0.8034,0.88067,0.48619,1.50276,0.72911,1.57441,0.000826,0.000826,0.000826
141,39436.8,0.42501,0.26511,0.94939,0.90216,0.80355,0.88081,0.48691,1.50227,0.72767,1.57267,0.00076,0.00076,0.00076
142,39713.3,0.42053,0.26149,0.94663,0.90326,0.80415,0.88043,0.48779,1.50181,0.726,1.57128,0.000694,0.000694,0.000694
143,39997.7,0.41495,0.25827,0.94577,0.89938,0.80489,0.87922,0.48795,1.50092,0.72507,1.56943,0.000628,0.000628,0.000628
144,40282.2,0.41461,0.2567,0.94385,0.90244,0.8072,0.88062,0.48815,1.50017,0.72387,1.56784,0.000562,0.000562,0.000562
145,40565.8,0.41374,0.25584,0.94436,0.9056,0.8087,0.88127,0.48829,1.49971,0.72291,1.56646,0.000496,0.000496,0.000496
146,40850.7,0.40794,0.25384,0.94121,0.90679,0.80789,0.88029,0.48846,1.49927,0.72184,1.56541,0.00043,0.00043,0.00043
147,41133,0.41234,0.25188,0.94435,0.90762,0.80788,0.88092,0.48856,1.49855,0.72096,1.56447,0.000364,0.000364,0.000364
148,41413.7,0.40742,0.25184,0.9433,0.90733,0.80863,0.88051,0.4883,1.49772,0.71974,1.56297,0.000298,0.000298,0.000298
149,41697.9,0.40467,0.25079,0.94249,0.90833,0.80889,0.88114,0.48949,1.49734,0.71906,1.56205,0.000232,0.000232,0.000232
150,41982,0.40206,0.24893,0.94184,0.90985,0.80987,0.88287,0.48966,1.49719,0.71764,1.56082,0.000166,0.000166,0.000166
